,,,S3: Which of the following industries do you work in?,,,,,,,Q2: What are the top strategic business priorities for your organization over the next two years?,,,,,,,,,,Q3: Which of the following external trends will have the biggest impact on your business in the next two years?,,,,,,,,,,,,,Q4: Which of these are problems you’re seeing within your organization?,,,,,,,,,,,,,,,,,"Q10: When selecting a consulting firm as part of your organizational and talent strategy, who is involved in the decision-making group?",,,,,,,,,,,,,,,,,,
I agree,"More than 10,000 employees",United States,Consumer markets,,VP,Procurement,I am the primary decision maker,"Yes, I'm on the board of my company","Ensuring the organization's strategy aligns with its mission, vision, and long term goals is challenging.",0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,"During the times of budget shortfalls, economic downturns, or major investments.",Yes. Digital transformation,Executive Management,0,4,0,I am part of a decision making team,1,0,1,1,0,0,1,0,0,,Clarity and alignment on strategic direction.,If there is misalignment with culture or reality.,"Help to see around corners, anticipate risks, and sharpen long term focus.",Peer referrals and Board Networks.,McKinsey & Company,Mckinsey Quarterly,Digital transformation and Technology trends.,I would do all of them when exploring new thinking.,Bloomberg
I agree,"More than 10,000 employees",United States,Industrial Manufacturing,,VP,Procurement,I am the primary decision maker,"Yes, I'm on the board of my company",One of the main difficulties faced by boards is to create and uphold effective corporate governance practices.,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,"During tough times or life challenges, you may feel as though you’ve lost your way.",Clearly delineate the desired future state and the capabilities necessary to attain it.,,1,,1,I am the primary decision maker,1,0,0,0,0,0,0,0,0,,"It entails cultivating strong client relationships, grasping their requirements, and delivering advice and solutions that add value.","When a consultant collaborates closely with the company to pursue a shared objective, the outcomes are remarkable.","By developing a deep understanding of the client's industry, culture, and business, they would be able to offer solutions that are both customized and effective.","Case studies, references, and testimonials from other partners can be used to assess this.","Expert interviews and discussions in the fields of AI, business, ethics, and technology yield a variety of perspectives and comprehensive examinations of important subjects.","Like Gartner, offering comprehensive research and examination of technology and its effects on businesses and consumers.","Internal documents that detail findings, progress, and new ideas will be heavily relied upon by teams working on specific projects or in research divisions.","Although it is valuable, further processing into text is often necessary for detailed analysis and comprehension of nuanced arguments.",I handle material from various blogs and online magazines that provide thorough analysis and commentary on particular industries and subjects.
I agree,"More than 10,000 employees",United States,Consumer markets,,Chief Technology Officer,Senior Leadership (cross function),I am part of a decision-making team,"Yes, I'm on the board of my company",It would be to identify all the risks that will affect the operation of the company and resolve them without affecting the operation of the company.,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,"With the rise of threats and stricter regulations for cybersecurity, there has been immense pressure on me to ensure we don't have any breach in our company, and being stuck. I feel like we are still in use of legacy infrastructure that has limited our speed and scalability.","There are many non-tech teams that lack the understanding and skills to interpret the data and act on insights to better this, we have been rolling out training within business units.",It would be the Chief Human Resource Officer as they identify the needs and make sure that consulting firm is align with our organization goals.,0,"It would be around 4 to 5 people, like CHRO, Myself, CEO, CFO, and some senior leaders.",0,I am part of a decision making team,0,1,1,1,1,1,0,0,0,,"It would be AI adoption, as we really need a clear enterprise strategy that would connect business value with practical use cases and help both upskill leadership and technical teams in the company.",If the cost of the solution is very high and the ROI on that is unclear that it is difficult for us to justify it to the board and finance team to move forward with the suggested plan.,"First, they would solve real problems and focus more real outcomes and not just buzzwords. They would show real curiosity and care about the customer's goals and not be just a tech stack. They would be more prioritized on the impacts they have on a company over the billable hours.","I trust the most from the testimonials from Similar companies or other well-known companies, this helps as to see if the partners have any real-world experience or not and can deliver just like other in the company.","Bloomberg, Deloitte, The Daily New York Times, TechCrunch, and Stratechery.",Publication would be The TechCrunch.,"My team is very selective about the content they read and share, and it's mostly from TechCrunch and other company-specific analysis and plus GitHub.","I would watch it as it gives a better understanding of things when I view them, and can picture them.",None.
I agree,"More than 10,000 employees",United States,Healthcare,,Senior VP,Senior Leadership (cross function),I am part of a decision-making team,"Yes, I'm on the board of my company",One big challenge is staying focused on the bigger picture while still dealing with the day-to-day.,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,I feel the most pressure with regulatory compliance due to constantly changing regulations and the risk of non-compliance.,We are actively improving our hiring process to attract the most talented individuals in our industry.,,1,"In our company, the decision-making group includes the HR Manager, Director, Senior VP, and CFO.",0,I am part of a decision making team,1,1,0,1,0,0,0,0,0,,"If a consulting partner could help us solve just one thing this year, it would be improving operational efficiency by streamlining processes to reduce costs and boost productivity.",We might not move forward with a solution if the cost doesn’t fit our budget or the return on investment isn’t clear enough to justify it.,"They would work directly with our teams, making sure we're all aligned and helping the implementation process run smoothly.","I look for partners with strong experience in healthcare and a proven track record of delivering results, especially in addressing the unique challenges we face.","Our insights come from industry reports, podcasts, and newsletters from Modern Healthcare and Healthcare Dive.","Our executive team follows Modern Healthcare, Healthcare Dive, analysts from Deloitte and McKinsey, and key healthcare influencers for insights.","We frequently share articles from Modern Healthcare, Healthcare Dive, and Harvard Business Review, along with research on emerging healthcare trends and innovations.","The podcasts and webinars I listen to provide me with new insights, but I also enjoy reading in-depth reports.","I subscribe to Modern Healthcare, Healthcare Dive, Harvard Business Review, and The Wall Street Journal for industry news and business insights."
I agree,"More than 10,000 employees",United States,Consumer markets,,Senior VP,Procurement,I am the primary decision maker,"Yes, I'm on the board of my company",Trying to suss out the many challenges decision about the business we make every quarter.,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,We feel stuck on paralell innovation tactics. Getting teams to work together.,More upskilli g. Seamless commnuications.,"Mostly me and my small team, in advance.",0,6 to 8.,0,I am the primary decision maker,1,1,0,1,0,1,0,0,0,,"Streamlining processes, not just for procurement but also threading all resources.","Costs, mainly. Extended contractuual costs.",A sharp tram that knew our business would be essential. Twice a quarter robust planning sessions.,Conference and biz meet chatter and networking. The financial press.,Some podcast -- in the background. The financial press. The tech press.,"The Financial Times, Cnet, no particular influencers.",All data sharing and cybercesurity white papers. Nearly all.,Read.,"The financial times, cnet, the wall street times, the new york times, foreign tech newslarrer A."
I agree,"More than 10,000 employees",United States,Industrial Manufacturing,,VP,Senior Leadership (cross function),I am the primary decision maker,"Yes, I'm on the board of my company",Making quick well-informed judgments in times of crisis or disruption and preparing for executive and board leadership changes.,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Long hours and a lot of obligation and impair judgment.,Improving analytics and insights capability and developing resilience and adaptability to rapid change.,Talent management leaders,0,,1,I am the primary decision maker,0,0,0,0,1,0,0,0,0,,Building future-ready leaders and succession plans.,Concerns about the feasibility or sustainability of implementation.,"Anticipates needs and trends before they arise, bringing fresh insights and innovation.",Insights from independent review platforms or research organizations.,"It provides leadership, strategy, and business development content.","Leading market research and analysis on technology, leadership, and industry trends.","Success stories showcasing innovative solutions, best practices, and problem-solving approaches.","Reading articles, reports, or books is ideal for in-depth, focused exploration of new thinking, allowing you to digest and reflect at your own pace.",Focuses on research and analysis for top-level business strategies.
I agree,"More than 10,000 employees",United States,Life sciences,,Senior VP,Operations,I am the primary decision maker,"Yes, I'm on the board of my company",The biggest challenges as a board member I would faced that balancing  innovation and risk while navigating a highly regulated environment.,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,Driving long-term values amid short-term investor expectations and single clinical trial failure or data breach can tank the company's reputation and valuation.,Digital and Data capabilities gaps would be cover to the organization level also exploring strategic partnership with tech firms to accelerate build.,,1,It would be a group of 4 people or might be 3 it depends on the crowd of hiring people.,0,I am the primary decision maker,0,0,1,1,0,1,0,0,0,,They would help me in the AI technology areas related to my industries that how it would be working with this.,Lack of organization fit like it good on paper but it does not align with our company's culture and internal capabilities.,"They don't just give us a vision- they help us execute, adjust and own it, they feel like an extension for our team, not outsiders, and they are not afraid to let the client shine.","Track record with similar companies, first hand interaction and thought leadership.",We would love to explore everything that can we catch to get the best response.,Their are some publications right there to get the attention for our organization.,We shared thoughtful responses and technology services content that can help us to grow our company.,I would love to watch instead of listen or read when exploring new things.,"I subscribe few things like Fierce Biotech, STAT news etc."
I agree,"More than 10,000 employees",United States,Technology,,Deputy Head,Human Resources,I am the primary decision maker,"Yes, I'm on the board of my company",Making sure all requirements are met for the need and growth of the company.,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,In the growth of our market. Keeping up with the changing economy make sure to stay on track with trends for growth,Make sure we have quality employees to rotate and promote as company grows and expand,Previous experience and growth potential. Quality of workload anticipated,0,Me and a few other members,0,I am the primary decision maker,1,0,1,0,0,0,0,0,0,,Growth challenges,Fitting the system of operation at our company,They would fall right into the fold of system dynamic as well as fit the growth potential plan as well as talent growth and acquisition,Business partners and board members,Business partners,Bloomberg and other financial services,Growth potential and plan,Read and watch then listen,"CNN, Bloomberg, NBC , Fox"
I agree,"More than 10,000 employees",United States,Public Sector,,Chief Executive Officer,Senior Leadership (cross function),I am the primary decision maker,"Yes, I'm on the board of my company",To understand how integration of upcoming technology can help direct marketing to our consumers,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,I am feeling pressure to build our brand with upcoming AI technology integrations with marketing and not quite certain how to utilize to its fullest potential,I have having to learn sometimes by watching younger generations interaction with social media,I do this myself,0,"Only one unfortunately, myself",0,I am the primary decision maker,0,0,0,1,0,0,0,0,0,,How to build brand with upcoming AI marketing campaigns,Not certain if investment will be worthwhile such as Metaverse was supposed to be upcoming marketing platform but failed to meet demands,I would like a firm that focuses solely upon brand marketing online,"My bank, industry insiders and my own competition",I literally try to keep ahead by watching and studying social media strategies of younger generation,"Bloomberg, Forbes",Bloomberg podcasts,Read,"Spotify, Amazon, YouTube, Bloomberg, MSN"
I agree,"More than 10,000 employees",United States,Healthcare,,VP,Procurement,I am the primary decision maker,"Yes, I'm on the board of my company",As a Board member biggest challenge is managing risk and complexity.,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Feeling pressure to innovate continuously and stuck navigating internal resistance.,In the areas of innovation and digital transformation we are attempting to bridge skill gaps,I manage my team's research as VP working with executives and HR to ensure alignment.,0,The decision making group usually includes 5-8 keys stakeholder including finance leader.,0,I am the primary decision maker,1,1,0,0,0,0,0,0,0,,It would be accelerating leadership development to align strategy and drive performance.,Lack of clear implementation plants and insufficient evidence of long-term impact,The ideal consulting firm would align with our culture and co-create solutions.,I trust industry sources and historical performance indicators.,We rely on industry reports like professional network and valuable insights.,"Our executives team closely follows Gartner , Forbes and influential thought leaders in business and strategy.",Our team read and share industry reports and case studies internally.,I prefer to listen for new thinking especially through podcasts as it allows multitasking.,I subscribe to The wall street journal and Bloomberg.
I agree,"More than 10,000 employees",United States,Technology,,Chief Human Resource Officer,Human Resources,I am the primary decision maker,"Yes, I'm on the board of my company",Having to be prepared for any new challenges,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,The economy has put some pressure on the business but not feeling too stuck,AI technology integration,A team I work with,0,Four members,0,I am the primary decision maker,0,0,0,0,0,1,1,0,0,,Better AI strategies,It take time,They would be hands down the best in the business,My team and are resources,Online industry reports,Our own team of analyst,Group reports,Watch and read,Social media new letters and business media
I agree,"More than 10,000 employees",United States,Technology,,Chief Financial Officer,Compensation and Benefits,I am the primary decision maker,"Yes, I'm on the board of my company",Balancing diverse stakeholders interests while navigating complex strategic decisions in a ever-changing environment is a significant challenge,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,Reaching audience analyzing open-ended data stuck reaching audience analyzing open ended data,Reducing bias handling ambiguity increasing factual accuracy,Ai helps with the information needed,0,Nine of my top team members,0,I am the primary decision maker,0,1,0,0,0,0,0,0,0,,Customer relations and ai integrating,To many channels to go thru leadership,They would be ai I would use the best,They knowledge and burning fire to get the job done,We have a lot of places we go,Not really we do our own thing,The same as anybody else,Yes I do always,Yes all of them
I agree,"More than 10,000 employees",United States,Healthcare,,Senior VP,Sales,I am the primary decision maker,"Yes, I'm on the board of my company",Deadlines are hard to reach,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Designing meetings and slideshows powerpoint,No,Myself,0,50,0,I am the primary decision maker,0,0,0,1,0,0,0,0,0,,Managing time a little better,Bad reviews and rates,As unique as possible,Reviews,Google mostly,No,Business management mostly,Listen,Facebook linked in instagram
I agree,"More than 10,000 employees",United States,Technology,,Chief Information Officer,Human Resources,I am the primary decision maker,"Yes, I'm on the board of my company","Maintaining constant accountability, transparency, and stakeholder alignment  while striking a balance between strategic vision and operational realities",1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,Feeling pressured to scale effectively without sacrificing culture or quality as part of a growth strategy,"Yes, we are working to increase the efficacy of cross-functional communication, data analysis, and digital tools",,1,"Typically, the final decision involves three to five important team members",0,I am the primary decision maker,0,0,1,1,1,1,0,0,0,,Simplifying personnel strategy and operations to promote log-term growth without compromising team culture or quality,"Poor communication, unclear ROI, or inconsistency with our company's values","They would be proactive, open, highly cooperative, result-oriented, and genuinely cognizant of our particular difficulties","Recommendations, track records, industry experience, customer endorsements, and clear fact-based presentations","Peer network discussions, industry reports, reputable newsletters, and expert podcasts",No there is nothing like that,"They read articles about leadership, industry reports, success stories, and practical insights",I find that watching or listening is more effective and engaging,"I follow business media that focuses on leadership, sports podcasts, and newsletters tailored to my industry"
I agree,"More than 10,000 employees",UK,Consumer markets,,VP,Operations,I am the primary decision maker,"Yes, I'm on the board of my company",Lack of communication and poor transparency,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,Due to more work burden and poor transparency in work strategies,There is no any critical capability gaps,HR leaders and strategy consultants,0,Key stakeholders are managing over talent strategy groups,0,I am the primary decision maker,1,1,0,0,0,1,0,0,0,,Maintaining better customers relationships,Due to lack of understanding between consultants and relationships,"Better collaborative, empathetic and forward thinking",Clarify own objectives and expectations,"In industry reports, emails and news letter etc","No, there is any other publications","Meeting the transcripts, news articles and even visual contents like memes and videos","When exploring new thinking, the best approach is a combination of reading and listening",Magazines medias and social media contents
I agree,"More than 10,000 employees",United States,Industrial Manufacturing,,Senior VP,Senior Leadership (cross function),I am the primary decision maker,"Yes, I'm on the board of my company","One of the biggest challenges is making decisions that provide immediate value, while also staying focused on the long-term success and future of the company.",1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,The greatest pressure I face is achieving efficiency targets while minimizing downtime on the production line. I often encounter challenges when employees resist changes in processes or the introduction of new equipment.,"We are focused on addressing gaps in our production team's ability to manage advanced manufacturing technologies. Additionally, we’re working on strengthening our leadership pipeline to ensure we have the right talent in place to drive future growth.",Our procurement team takes the lead in researching consulting firms. They collaborate with HR and operations to make sure the firms fit with our organizational goals and talent development needs.,0,"We typically keep the decision-making group small, with 4-5 key people, including myself, HR, and senior leaders from operations. This helps us make decisions quickly while still getting valuable input from the right departments.",0,I am the primary decision maker,0,0,1,0,0,0,0,0,0,,The biggest challenge we’re facing right now is improving our operational efficiency. It would be incredibly helpful to have a consulting partner who could help us optimize our workflows and make everything run more smoothly.,We wouldn’t move forward with a consulting firm if they don’t offer sufficient training or support to ensure a smooth transition and successful implementation.,"The best consulting firm would be one that stays with us throughout the process, making sure its solutions are actually implemented and lead to lasting results.",I pay close attention to how well a potential partner's culture aligns with ours. This is something I can usually get a sense of through discussions with their team and leadership.,"We often look to research from McKinsey & Company and Boston Consulting Group, as they offer detailed analyses of emerging trends and strategies that are critical for our business.",Our executive team keeps a close eye on analysts from Gartner and Forrester to stay updated on the latest technology research and shifts in the market.,"We regularly share newsletters from firms like Deloitte and PwC within the team, as they offer valuable insights into tech adoption strategies that are crucial for our operations.","I prefer reading because it allows me to take my time, pause, and go back over key points to make sure I fully understand new concepts.",I subscribe to industry reports from Gartner and Forrester because they provide reliable insights and help me stay ahead of the latest technology trends.
I agree,"More than 10,000 employees",United States,Technology,,Chief Executive Officer,Senior Leadership (cross function),I am the primary decision maker,"No, I'm not on a Board",,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Leading the company through constant technological changes while staying competitive is where I feel the most pressure. One of the challenges I face is getting the whole team on the same page with our long-term tech strategies.,We need to build stronger expertise in cloud computing across the team. We’re focusing on both training our current staff and bringing in new talent to ensure we can fully take advantage of the cloud as we grow.,I have a trusted team of senior leaders and consultants who perform the research and put together the necessary information for me. I focus on reviewing how it aligns with our strategy.,0,"The decision-making group usually includes 5-7 people, with leaders from HR, technology, and operations. We want to make sure we get input from different areas to find the best strategic fit for the firm.",0,I am the primary decision maker,0,0,1,1,1,1,0,0,0,,"I’d like a consulting partner who can help us speed up our digital transformation, making sure we stay ahead in a fast-evolving tech world.",We’d be hesitant to move forward if the solution lacks clear scalability or doesn’t align with our long-term vision and strategic goals.,"The right consulting firm would help us improve our operations efficiently while keeping costs under control, offering solutions that deliver results without overspending.","I trust recommendations from my network, especially from other CEOs or senior leaders who have direct experience working with potential partners.",We often turn to industry reports from reliable sources like Gartner and Forrester to get valuable insights into the latest technology trends.,"We ensure to stay informed by following venture capital blogs, such as Andreessen Horowitz, as they offer valuable insights into emerging technologies and the startup landscape.","Our teams regularly share reports and articles on industry regulations, especially from trusted sources like Bloomberg and Reuters, to ensure we stay informed and compliant.","I find listening to podcasts or audiobooks most effective, as it lets me absorb information while I’m on the go, making it easy to stay productive.","I follow Fast Company because it’s a great source of fresh ideas on leadership and business transformation, especially when it comes to the tech space. It helps me stay inspired and think differently."
I agree,"More than 10,000 employees",UK,Consumer markets,,Chief Technology Officer,Human Resources,I am the primary decision maker,"Yes, I'm on the board of my company",it is not easy to do and very busy as well as very slow for me.,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,it is not easy to do and a lot of work as well as costly.,it is not easy to hire,it is easy to work with as well as not too costly.,0,5,0,I am the primary decision maker,1,1,0,1,0,1,1,0,0,,accenture,it is not easy to do business.,it is specialised and very good as well as not too costly.,it has track records,on the industry reports,no other thing,the industry trend,to read the articles.,the bbc news
I agree,"More than 10,000 employees",United States,Technology,,Chief Technology Officer,Operations,I am the primary decision maker,"Yes, I'm on the board of my company",My biggest challenges as a board member is to communicate well with the rest of the board members and come to an agreement on everything we talk about.,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,I feel the most pressure to perform and where we feel stuck is that when it comes to artificial intelligence some of my employees are having a hard time with it. And that's where we feel stuck.,We don't have any critical capability gaps that we are working on to close either at a team or organization level I believe everything is fine without company right now.,,1,,1,I am the primary decision maker,0,0,0,0,0,1,0,0,0,,If I could have One consulting partner that could help me solve just one thing this year it would be to help my company and departments to get along better than they are right now.,We have moved forward with the solutions presented by the consulting firm and there's nothing that is wrong right now we made a very good solution and everything is working fine now.,"If I could design the ideal consulting firm partner from scratch I would say that they get along with us, trusting them is important to me, having good communication skills within each other and how they show up with information and yes I agree they'd be different from everyone else.",The sources I trust most when evaluating partners is their reputation and reviews and what did I hear from colleagues for evaluating these partners.,The leaders that go through leadership and insight should be great at what they do in the industry they should have in-depth reports from newsletters and podcasts I will be investigating that much more than anything else I would research.,"There are no publications, analyst or influences I executive team pays attention to we don't follow influences at all we learn things from more powerful people.",The content I have with my team/teams definitely read and share internally.,"I watch, listen and read when exploring new thinking and that's the way everyone should handle their organization.","Bloomberg, Google, and IBM"
I agree,"More than 10,000 employees",United States,Industrial Manufacturing,,Head,Human Resources,I am the primary decision maker,"Yes, I'm on the board of my company",manage and make a instant decision.,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,When our employee doing a big blunder.,No,We use HR department.,0,4-5 people.,0,I am the primary decision maker,1,1,0,1,1,1,0,0,0,,Help to adopt AI technology.,Supply chain issue.,We try to in innovative way.,Business partners.,national news source.,Forbes,What is important to our industry.,I make some generate ides.,WSJ
I agree,"More than 10,000 employees",UK,Healthcare,,Senior VP,Senior Leadership (cross function),I am part of a decision-making team,"Yes, I'm on the board of my company",Biggest challenge is navigating the complex interplay of financial pressures and regulatory changes.,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,I feel the most pressure when I see rising labor costs and financial instability.,"Yes, and I close these gaps by hiring talented and skilled resources.",Strategy Officer,0,It's around 5 to 10 people.,0,I am part of a decision making team,1,1,1,1,1,0,0,0,0,,Can help in building a future ready workforce.,Because the solution is not cost effective.,"They make solutions with us, show up authentic, and are different because they make scalable solutions.",Recommendations and previous experiences.,Health research institute and webinars.,"Yes, there are many publications and influencers.",Content about industry peers and technologies.,I prefer reading.,Industry specific publications.
I agree,"More than 10,000 employees",UK,Technology,,VP,Operations,I am the primary decision maker,"Yes, I'm on the board of my company","juggling strategic oversight, risk management, accountability, and a variety of interests.",1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,High decision making pressure feeling unable to align long-term objectives.,"Yes, emphasizing cross-functional cooperation, leadership development, and digital skills.","Typically, a specialized research analyst, strategy leads, or the HR department.",0,"Usually, three to five important parties, such as leadership and HR.",0,I am the primary decision maker,0,0,1,0,0,1,0,0,0,,Enhancing talent development programs to drive organizational growth and efficiency.,"High expenses, incompatibility with company culture, or issues with viability.","An ideal partner is engaged, cooperative, flexible, open, and has a profound understanding of our specific requirements.","I rely mostly on customer testimonials, case studies, industry reviews, and personal referrals.","Industry reports, trusted podcasts, expert webinars, and relevant email newsletters.","Gartner, McKinsey, HBR, Forrester, and experts in specific industries.","Reports on industry, case analyses, market developments, and leadership perspectives.","I choose reading and listening materials that are effective, informative, and simple to revisit.","Newsletters, podcasts, journals, and business magazines."
I agree,"More than 10,000 employees",UK,Technology,,Chief Executive Officer,Learning & Development,I am the primary decision maker,"Yes, I'm on the board of my company","Maintaining integrity, adhering to regulations, and proactively addressing risks tied to unethical behavior, legal violations, or damage to an organization's reputation.",1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,Implementing strong financial controls and auditing processes to detect and prevent fraudulent activities.,Enhancing my ability to interpret subtle emotional cues and respond with greater empathy.,,1,,1,I am the primary decision maker,0,0,1,1,0,0,0,0,0,,"I had a consulting partner, I’d want them to help refine how I understand and recall context over extended conversations.","energic frameworks can be insightful, but if they don’t address unique business challenges or constraints, they may not be worth the investment.","Moving beyond conventional best practices, they’d push boundaries with truly original solutions.","A strong consulting partner will often contribute to industry publications, whitepapers, and expert forums, showcasing deep knowledge and innovative thinking.",Content from established business figures or niche consultants often delivers actionable advice.,Global economic perspectives and analysis of major business developments.,"Influential voices like Adam Grant, Scott Galloway, or business innovation blogs.",Ideal for engaging with insights during commutes or multitasking while picking up deep discussions from experts.,Youtube
I agree,"More than 10,000 employees",UK,Consumer markets,,Chief Marketing Officer,Senior Leadership (cross function),I am the primary decision maker,"No, I'm not on a Board",,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,Skill gap,Consumer insights,Mckinsey,0,3,0,I am the primary decision maker,0,0,0,1,0,0,0,0,0,,Transformation,Cost,Act like a business partner than a service provider,Referrals,Industry publications,HBR,HBR,All,HBR  FT  The Economist
I agree,"More than 10,000 employees",UK,Technology,,VP,Senior Leadership (cross function),I am the primary decision maker,"No, I'm not on a Board",,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,"Sales conversion into meaningful production workloads is the main sticking point. It is relatively easy to get meetings, workshops and PoC's; however, conversion to meaningful change and sales is becoming increasingly difficult. The reasons cited are the cost of change, training, relevant skills hiring, organisational change and technology costs. This is all within a backdrop of near recessionary conditions and political uncertainty","Yes, to be fully conversant with GenAI and other automation technologies. One of the main gaps is identifying the correct use cases that will generate revenue or cut operational costs","Typically, it's a hybrid approach. Consultancy firms are not always domain experts but, moreover, are specialists in change management and research, so the initial remit is jointly curated through workshops. After this, the expectation is that the consulting firm performs the research and produces its findings",0,"Typically, between 5 - 7. The budget owner, the PMO, a few SME's and the LOB owners",0,I am part of a decision making team,1,1,1,0,0,1,1,0,0,,Readying the company for more frequent waves of technology disruption and a more coherent strategy on how to apply that technology,Cost of implementation and the organisational disruption,"They would be relatively small, niche and domain experts, be very collaborative, and also come with an industry point of view","Specialist research and advisory companies, like Everest, or Whitelane","Gartner and the Gartner magic quadrant, papers from Deloitte, KPMG and EY. Podcasts less so","Yes, we have strategic partners with EY, McKinsey, Everest and Whitelane","Reports by Gartner, McKinsey, EY, Everest and Whitelane",I prefer to read as I often refer back to the content and find it easier to reference that way,"Whitelane, Everest, Gartner and Forrester"
I agree,"More than 10,000 employees",UK,Technology,,Head,Senior Leadership (cross function),I am part of a decision-making team,"No, I'm not on a Board",,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,The most pressure is on growth and the biggest issue is the employees wanting more flexibikity,Yes inclusion and diversity is a key focus area,Human resources and Learning development,0,12,0,I am aware of the decision-making process or consulted on it but I am not directly involved in it,0,0,1,1,0,0,0,1,0,HR,Growth plans and inclusion,Engagement and commitment from teams,Be transformational and demonstrate evidence of previous success,Previous achievements,"Social media, newsletters, membership associations",Drew Povey,internal comms,Listen or watch,None
I agree,"More than 10,000 employees",UK,Consumer markets,,Chief Financial Officer,Senior Leadership (cross function),I am part of a decision-making team,"Yes, I'm on the board of my company",Understanding all the relevant regulations.  Ensuring there is a suitable risk management framework.  Getting forward visibility of trends and performance.,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"Managing inflationary headwinds, given retailers resistance for price rises.",Sales and operational planning is a key focus.,These are managed by the senior team.,0,The exec team,0,I am part of a decision making team,1,1,1,1,0,0,0,0,0,,Sales and operational planning,"Costs could be too high, culture of consulting team may not be good fit or questioning if output would be practical.","Consulting teams need to listen to the exam question and provide solution for that, not pitch generic off the shelf services.   Consulting teams need to be part of the business team and not feel separate.",My network of people I’ve worked with and whether I’ve worked with consultants before,"Conferences, podcasts",No,Market research reports. Market share data,Listen,"Retail Week, Grocer, Financial Times"
